ID,Lobby ID,Nom,Abréviation,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Réduction 40%,Efficacité énergétique,Gaz de schiste,Energies renouvelables
1,74535104992-35,Green Budget Europe (GBE),GBE,Europe,ONG,Intérêts public environnementaux,223889,2,1.0,SUPPORT,SUPPORT,,SUPPORT
2,1651695283-80,INFORSE-Europe,INFORSE-Europe,Europe,ONG,Intérêts public environnementaux,17499,2,1.0,,,,SUPPORT
3,85103504511-82,ActionAid,ActionAid,International,ONG,Autres industries/intérêts,226887,3,2.25,,,,SUPPORT
4,1414929419-24,World Wildlife Fund,WWF,International,ONG,Intérêts public environnementaux,2124999,33,21.75,,,,
5,75365248559-90,Nature Code,Nature Code,Autriche,ONG,Intérêts public environnementaux,649999,7,4.0,,,,
6,1083162721-43,BirdLife Europe,BirdLife Europe,Europe,ONG,Intérêts public environnementaux,1374999,18,18.0,,,,
7,,Institution of Civil Engineers (ICE),ICE,Royaume-Uni,Association professionnelle,Autres industries/intérêts,NaN,NaN,NaN,,,,
8,256351811481-67,Plataforma por un Nuevo Modelo Energético,Px1NME,Espagne,ONG,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
9,94944179052-82,Sandbag,Sandbag,Royaume-Uni,ONG,"Recherche scientifique, expertise",249999,8,6.5,SUPPORT,,,
10,505588923656-96,"eceee, the European Council for an Energy Efficient Economy",ECEEE,Europe,ONG,Énergie,17499,1,0.75,,,,
11,3960234639-24,Quaker Council for European Affairs (QCEA),QCEA,Belgique,ONG,Autres industries/intérêts,149999,4,2.5,SUPPORT,SUPPORT,OPPOSE,SUPPORT
12,58744833263-19,European Federation for Transport and Environment AISBL,T&E,Europe,ONG,"Construction, immobilier, transports",3624500,27,19.25,SUPPORT,,OPPOSE,
13,,Hespul,HESPUL,France,Think tank et recherche,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
14,0285583802-96,Nature and Biodiversity Conservation Union (NABU),NABU,Allemagne,ONG,Intérêts public environnementaux,349999,31,13.5,SUPPORT,SUPPORT,,SUPPORT
15,83237681344-24,Bund für Umwelt und Naturschutz Deutschland,BUND,Allemagne,ONG,Intérêts public environnementaux,4999,2,1.75,,,,
16,,ALIenergy,ALIenergy,Europe,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
17,96645517357-19,ClientEarth,ClientEarth,Royaume-Uni,ONG,"Recherche scientifique, expertise",549999,38,11.75,,,,
18,,FEASTA The Foundation for the Economics of Sustainability,FEASTA,Irlande,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
19,027333110679-45,Change Partnership,Change Partnership,Belgique,ONG,Intérêts public environnementaux,98000,3,2.5,,,,
20,88183887439-50,Centre for Transport and Energy,CDE,République Tchèque,ONG,"Construction, immobilier, transports",4999,1,0.25,,SUPPORT,OPPOSE,
21,,The Polish Climate Coalition,Koalicja Klimatyczna,Pologne,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
22,927189614844-23,NOAH Friends of the Earth Denmark,NOAH,Danemark,ONG,Intérêts public environnementaux,74999,6,3.0,SUPPORT,,OPPOSE,
23,42119616334-41,Food and Water Europe,Food & Water Europe,Europe,ONG,Intérêts public environnementaux,74999,3,2.5,,,,
25,035225320599-22,APERe,APERe,Belgique,ONG,Intérêts public environnementaux,37499,1,0.5,,,,
26,481513911429-60,Klima-Bündnis Lëtzebuerg,Klima-Bündnis Lëtzebuerg,Luxembourg,ONG,Intérêts public environnementaux,249999,4,4.0,,SUPPORT,OPPOSE,SUPPORT
27,55888811123-49,Climate Action Network (CAN) Europe,CAN,Europe,ONG,Intérêts public environnementaux,849999,19,15.75,,,,
28,06798511314-27,European Environmental Bureau,EEB,Europe,ONG,Intérêts public environnementaux,3374999,22,19.75,,,,
29,9832909575-41,Greenpeace,Greenpeace,International,ONG,Intérêts public environnementaux,594233,10,5.0,SUPPORT,SUPPORT,OPPOSE,SUPPORT
30,55481528937-66,Church and Society Commission,CSC,Europe,Communauté religieuse,Autres industries/intérêts,149999,7,1.75,SUPPORT,,,SUPPORT
31,,SEREN Environmentalists for Nuclear Energy,EFN,International,ONG,Énergie,NaN,NaN,NaN,,,,
32,174549611338-89,Alchemia-Nova,Alchemia Nova,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",4999,3,1.0,OPPOSE,,,SUPPORT
33,075624711129-13,Ren Energioplysning (REO),REO,Danemark,ONG,Énergie,4999,3,0.75,,,OPPOSE,OPPOSE
34,318640620183-35,Inter-Environnement Wallonie,IEW,Belgique,ONG,Intérêts public environnementaux,17499,2,0.5,,,,
35,9825553393-31,Friends of the Earth Europe,FOEeurope,Europe,ONG,Intérêts public environnementaux,764961,16,5.75,SUPPORT,SUPPORT,OPPOSE,SUPPORT
36,,Forum Wissenschaft und Umwelt (FWU),FWU,Autriche,Entité/autorité publique,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
37,07783117686-61,E3G - Third Generation Environmentalism,E3G,Europe,Think tank et recherche,"Recherche scientifique, expertise",2782638,25,25.0,,,,
38,83923664694-38,Climate Alliance,Climate Alliance,Europe,Entité/autorité publique,Intérêts public environnementaux,4999,3,2.25,,,,
39,98430135820-35,DNR - Deutscher Naturschutzring,DNR,Allemagne,ONG,Intérêts public environnementaux,4999,3,1.75,,,,
40,730024411461-80,Umwelt Dachverband,UWD,Autriche,ONG,Intérêts public environnementaux,74999,9,7.75,,,,
41,00723343929-96,HEAL,HEAL,Europe,ONG,Intérêts public environnementaux,149999,5,2.5,,SUPPORT,OPPOSE,
42,98048278485-29,Focus Association for Sustainable Development,FOCUS,Slovénie,ONG,Intérêts public environnementaux,4999,6,6.0,,,,
43,29934726424-76,Bellona Foundation,Bellona,Europe,ONG,"Recherche scientifique, expertise",4999,4,4.0,,,,
44,74505036439-88,Glass Alliance Europe - GAE,GAE,Europe,Association professionnelle,Matériaux,50000,7,2.0,,,,
45,,Polish Glass Manufacturers Federation,Polish Glass Manufacturers Federation,Pologne,Association professionnelle,Matériaux,NaN,NaN,NaN,,,,
46,15997912445-80,Glass for Europe,Glass for Europe,Europe,Association professionnelle,Matériaux,149999,4,1.5,,SUPPORT,,SUPPORT
47,1805107590-28,IATA - International Air Transport Association,IATA,International,Association professionnelle,"Construction, immobilier, transports",949999,3,3.0,,,,OPPOSE
48,63503202933-02,AEGPL - European LPG Association,AEGPL,Europe,Association professionnelle,Énergie fossiles (sauf gaz),249999,5,4.0,SUPPORT,,,
49,94140411659-52,PANGEA Partners for Euro-African Green Energy,PANGEA,Europe,ONG,Autres industries/intérêts,4999,1,0.25,,SUPPORT,OPPOSE,SUPPORT
50,23029147081-37,British Agriculture Bureau,BAB,Royaume-Uni,Association professionnelle,Autres industries/intérêts,349999,5,4.5,,,,SUPPORT
51,97810874431-67,AEBIOM - European Biomass Association,AEBIOM,Europe,Syndicat,Énergie (principalement renouvelable),549999,2,1.75,OPPOSE,SUPPORT,OPPOSE,SUPPORT
52,61650796093-48,Eurometaux,Eurometaux,Europe,Association professionnelle,Matériaux,1374999,12,11.5,,OPPOSE,SUPPORT,
53,18191445640-83,European Biogas Association,EBA,Europe,Association professionnelle,Énergie (principalement renouvelable),37499,3,2.5,,SUPPORT,,SUPPORT
54,80788715017-29,FERTILIZERS EUROPE,Fertilizers Europe ,Europe,Association professionnelle,Industrie chimique,919000,8,4.0,,,,
55,16999985032-07,Cooperatives Europe,Coopseurope,Europe,Association professionnelle,Intérêts privés,249999,4,2.0,,SUPPORT,,SUPPORT
56,43859808000-87,EASE – European Association for Storage of Energy,EASE,Europe,Association professionnelle,Énergie,149999,5,3.75,,,,
57,22276738915-67,EPEE - European Partnership of Energy and environment,EPEE,Europe,Association professionnelle,Énergie,249999,5,3.0,,SUPPORT,,
58,9201911441-69,Scotch Whisky Association,SWA,Royaume-Uni,Association professionnelle,Autres industries/intérêts,749999,14,5.0,,SUPPORT,,SUPPORT
59,2680046412-48,EPIA - European Photovoltaic Industry Association,EPIA,Europe,Association professionnelle,Énergie (principalement renouvelable),549999,11,9.25,SUPPORT,SUPPORT,OPPOSE,SUPPORT
60,418701911503-17,British Ceramic Confederation (BCC),BCC,Royaume-Uni,Association professionnelle,Matériaux,4999,6,1.5,,OPPOSE,SUPPORT,OPPOSE
61,68193894090-86,Confcooperative,Confcooperative,Italie,Association professionnelle,Intérêts privés,37499,3,3.0,,,,
62,39299129772-62,EUROPEAN FEDERATION OF NATIONAL ASSOCIATIONS OF WATER AND WASTE WATER SERVICES,EurEAU,Europe,Association professionnelle,Énergie,249999,4,2.0,,,OPPOSE,
63,9931891670-73,Federchimica,Federchimica,Italie,Association professionnelle,Industrie chimique,349999,2,1.0,,,,
64,406700112988-86,Asociación Española de Cogeneración (ACOGEN),ACOGEN,Espagne,Association professionnelle,Énergie,74999,4,1.0,,,,
65,82064144358-30,APPA - Spanish Renewable Energy Association,APPA,Espagne,Association professionnelle,Énergie (principalement renouvelable),37499,2,0.75,SUPPORT,SUPPORT,OPPOSE,SUPPORT
66,37816636575-51,EU-ASE European Alliance to Save Energy,EU-ASE,Europe,Association professionnelle,Énergie,349999,3,2.0,,SUPPORT,,
67,3978240953-79,BusinessEurope,BUSINESSEUROPE,Europe,Association professionnelle,Intérêts privés,4124999,30,30.0,,,SUPPORT,
68,032095416055-85,Asociación Española de Operadores de Productos Petrolíferos (AOP),AOP,Espagne,Association professionnelle,Énergie fossiles (sauf gaz),149999,3,1.25,,,,
69,42843016904-50,UPEI Union Pétrolière Européenne Indépendante,UPEI,Europe,Association professionnelle,Énergie fossiles (sauf gaz),249999,2,1.75,,OPPOSE,,OPPOSE
70,73725676990-18,CBI - Confederation of British Industry,CBI,Royaume-Uni,Association professionnelle,Intérêts privés,949999,30,11.25,,,,
71,76331988454-11,Jernkontoret – The Swedish Steel Producers' Association,Jernkontoret,Suède,Association professionnelle,Matériaux,4999,6,1.5,,OPPOSE,,OPPOSE
72,10790718699-18,European Solar Thermal Industry Federation (ESTIF),ESTIF,Europe,Association professionnelle,Énergie (principalement renouvelable),4999,1,0.25,SUPPORT,SUPPORT,OPPOSE,SUPPORT
73,31843397020-27,Eurofuel,Eurofuel,Europe,Association professionnelle,Énergie fossiles (sauf gaz),249999,1,1.0,,,,
74,56039441735-48,Central Union of Agricultural producers and Forest Owners - MTB,MTB,Finlande,Syndicat,Autres industries/intérêts,149999,3,1.25,,OPPOSE,OPPOSE,OPPOSE
75,0649790813-47,ACEA,ACEA,Europe,Association professionnelle,"Construction, immobilier, transports",2124999,18,10.0,,OPPOSE,SUPPORT,OPPOSE
76,849997016104-66,Unesa - Asociación Española de la Industria Eléctrica,UNESA,Espagne,Association professionnelle,Énergie,37499,10,5.0,,,,
77,25748484862-49,EUROPEAN FEDERATION OF INTELLIGENT ENERGY EFFICIENCY SERVICES,EFIEES,Europe,Association professionnelle,Énergie,249999,3,2.25,,SUPPORT,OPPOSE,
78,608923211432-08,Fédération de l'Industrie du Verre asbl,FIV,Belgique,Association professionnelle,Matériaux,25000,NaN,NaN,,OPPOSE,SUPPORT,OPPOSE
79,,Steel Federation,Steel Federation,République Tchèque,Association professionnelle,Matériaux,NaN,NaN,NaN,,,,
80,39705603497-38,Federation Finnish Technology Industries,Federation of Finnish Rechnology Industry,Finlande,Association professionnelle,Intérêts privés,149999,10,5.0,SUPPORT,OPPOSE,,OPPOSE
81,19853116579-64,EURACOAL aisbl (European Association for Coal and Lignite),EURACOAL,Europe,Association professionnelle,Énergie fossiles (sauf gaz),149999,3,1.5,,,,
82,66441154246-76,IWEA - Irish Wind Energy Association,IWEA,Irlande,Association professionnelle,Énergie (principalement renouvelable),4999,2,0.5,SUPPORT,SUPPORT,,SUPPORT
83,2157643512-49,FEAD - European Federation of Waste Management and Environmental Services,FEAD,Europe,Association professionnelle,Autres industries/intérêts,149999,5,2.25,,,,
84,91684615435-86,Friends of the Supergrid,FOSG,Europe,Association professionnelle,Énergie,600000,3,2.5,,,,
85,03451096957-77,EuSalt,EuSalt,Europe,Association professionnelle,Autres industries/intérêts,37499,2,1.75,,SUPPORT,,OPPOSE
86,75093131694-63,EUTurbines European Association of Gas and Steam Turbine Manufacturers,EUTurbines,Europe,Association professionnelle,Énergie,349999,4,2.75,SUPPORT,,,OPPOSE
87,953933297-85,AFEP - Cercle de l'Industrie,AFEP,France,Association professionnelle,Intérêts privés,649999,10,4.75,,,,
88,54829912208-85,CEDEC –the European Federation of Local Energy Companies,CEDEC,Europe,Entreprise,Énergie,549999,3,2.25,SUPPORT,SUPPORT,OPPOSE,SUPPORT
89,7899845424-69,CEWEP - Confederation of European waste-to-Energy Plants,CEWEP,Europe,Association professionnelle,Énergie,549999,5,4.5,,SUPPORT,,SUPPORT
90,,Heat Coalition,Heat Coalition,Europe,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
91,95685068542-71,EHI AISBL Association of the European Heating Industry,EHI,Europe,Association professionnelle,Énergie,249999,4,2.0,SUPPORT,,,
92,23643001178-02,European heat Pump Association,EHPA,Europe,Association professionnelle,Énergie,149999,3,2.0,,SUPPORT,SUPPORT,SUPPORT
93,,Austrian Biomass Association,ÖBV,Autriche,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
94,48677174683-66,EREF - European reewable Energy Federation,EREF,Europe,Association professionnelle,Énergie (principalement renouvelable),149999,5,2.0,,,,
95,65083029307-11,European renewable Energy Council,EREC,Europe,Entité/autorité publique,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
96,19920706471-21,EWEA - European Wind Energy Association,EWEA,Europe,Association professionnelle,Énergie (principalement renouvelable),2624500,8,5.75,,SUPPORT,OPPOSE,SUPPORT
97,93987316076-63,"CEMBUREAU, the European Cement Association",CEMBUREAU,Europe,Association professionnelle,Matériaux,449999,8,4.0,,,,
98,0014082722-83,EUROCHAMBRES – The Association of European Chambers of Commerce and Industry,EUROCHAMBRES,Europe,Association professionnelle,Intérêts privés,7600000,20,18.5,,OPPOSE,SUPPORT,
99,68861821910-84,Finnish Energy Industries,ET,Finlande,Association professionnelle,Énergie,349999,18,6.25,,OPPOSE,SUPPORT,OPPOSE
100,50098025830-01,Energy Norway,Energy Norway,Norvège,Association professionnelle,Énergie,4999,2,2.0,SUPPORT,OPPOSE,SUPPORT,OPPOSE
101,07265875082-72,Federation of Finnish Enterprises,FFE,Finlande,Association professionnelle,Intérêts privés,249999,18,6.0,,OPPOSE,,OPPOSE
102,80966174852-38,Oesterreichs Energie,Oesterreichs Energie,Autriche,Association professionnelle,Énergie,549999,6,3.5,,,,
103,64879142323-90,European Chemical Industry Council – Cefic aisbl,CEFIC,Europe,Association professionnelle,Industrie chimique,12100000,78,48.0,,,,
104,255548111478-45,"Swedish Recycling Industries´ Assocation, SRI",Swedish Recycling Industries' Association,Suède,Association professionnelle,Autres industries/intérêts,30000,1,0.25,,,,
105,8111597333-73,Essenscia asbl - Belgian Federation for Chemistry and Life Sciences Industries,ESSENSCIA,Belgique,Association professionnelle,Industrie chimique,549999,9,3.0,,,,
106,,Confindustria,Confindustria,Italie,Association professionnelle,Intérêts privés,75000,NaN,NaN,,,,
107,623798014057-26,Danish Construction Association,Danish Construction Association,Danemark,Association professionnelle,"Construction, immobilier, transports",37499,15,3.75,,,,
108,7705861978-33,Fédérationn Française des Tuiles et Briques,FFTB,France,Syndicat,Matériaux,74999,4,1.25,,OPPOSE,,OPPOSE
109,42433582-82,FORATOM,FORATOM,Europe,Association professionnelle,Énergie,449999,6,3.0,SUPPORT,OPPOSE,,OPPOSE
110,952632114087-19,BWE - German Wind Energy Association,BWE,Allemagne,Association professionnelle,Énergie (principalement renouvelable),20000,1,0.75,SUPPORT,SUPPORT,,SUPPORT
111,374860614091-68,"SveMin, Swedish Association of Mines, Mineral and Metal Producers",SveMin,Suède,Association professionnelle,Matériaux,140000,4,1.25,,,,
112,17909506129-41,EUROGAS,Eurogas,Pays-Bas,Association professionnelle,Énergie,831972,5,3.0,SUPPORT,OPPOSE,SUPPORT,OPPOSE
113,14190001484-01,Industrial Minerals Association Europe,IMA-Europe,Europe,Association professionnelle,Matériaux,74999,3,0.75,,OPPOSE,SUPPORT,OPPOSE
114,15511499334-46,Bundesverband Erneuerbare Energie e.V.,BEE,Allemagne,Association professionnelle,Énergie (principalement renouvelable),17499,1,1.0,SUPPORT,SUPPORT,,SUPPORT
115,394158311340-73,Association of Large Energy Consumers (SVSE),SVSE,République Tchèque,Association professionnelle,Intérêts privés,4999,1,0.25,,,,OPPOSE
116,255859710443-50,Polish Electricity Association - PKEE,PKEE,Pologne,Association professionnelle,Énergie,449999,7,6.0,,,,
117,355702910008-47,Swedish Forest Industries Federation,Swedish Forest Industries Federation,Suède,Association professionnelle,Matériaux,4999,2,0.5,,,,OPPOSE
118,78753091151-50,VNCI - Association of the Dutch Chemical Industry,VNCI,Pays-Bas,Association professionnelle,Industrie chimique,349999,11,2.75,,,,
119,65573757907-62,SKGS - The co-operation of Swedish Energy Intensive Industries,SKGS,Suède,Association professionnelle,Énergie,4999,5,1.5,,,,
120,319496319069-35,Anigas – Associazione Nazionale Industriali Gas,Anigas,Italie,Association professionnelle,Énergie,17499,3,0.75,,,,
121,27993486325-38,PU Europe,PU Europe,Europe,Association professionnelle,"Construction, immobilier, transports",17499,1,0.25,,SUPPORT,,SUPPORT
122,30146663069-53,French Union of Electricity,UFE,France,Association professionnelle,Énergie,249999,3,3.0,,,,
123,1978775156-31,IFIEC Europe - International Federation of Industrial Energy Consumers,IFIEC Europe,Europe,ONG,Énergie,149999,10,4.0,,OPPOSE,SUPPORT,OPPOSE
124,347776811076-78,European Solar Thermal Electricity Association ESTELA,ESTELA,Europe,Association professionnelle,Énergie (principalement renouvelable),349999,3,3.0,,SUPPORT,OPPOSE,SUPPORT
125,9624415524-28,UNIFE - the European Rail Industry,UNIFE,Europe,Association professionnelle,"Construction, immobilier, transports",549999,8,6.5,,,,
126,19736167705-91,DENEFF - German Business Association for Energy Efficiency,DENEFF,Allemagne,Association professionnelle,Énergie,4999,1,0.5,,SUPPORT,,SUPPORT
127,,Swedish Wind Energy Association,Swedish Wind Energy,Suède,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
128,092289314455-70,Climate Market and Investment Associations,CMIA,International,Association professionnelle,Finance,4999,1,0.25,,,,
129,,European Nuclear Energy Forum (ENEF),ENEF,Europe,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
130,780146710855-91,European Lime Association,EuLA,Europe,Association professionnelle,Matériaux,5000,1,0.25,,,,
131,55820581197-35,"EUROPEAN ASSOCIATION OF CRAFT, SMALL AND MEDIUM-SIZED ENTERPRISES",UEAPME,Europe,Association professionnelle,Intérêts privés,1623893,15,15.0,,,,
132,286194516022-33,Fedil- Business Federation Luxembourg,Fedil,Luxembourg,Association professionnelle,Intérêts privés,149999,6,2.75,,,,
133,471593720714-56,World Coal Association,WCA,International,Association professionnelle,Énergie fossiles (sauf gaz),74999,2,0.5,,,,
134,1274604847-34,Confederation of Finnish Industries EK,EK,Finlande,Association professionnelle,Finance,449999,6,3.0,,,,
