ID,Lobby ID,Nom1,Nom2,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Emission <40 %,Efficacité énergétique,"Gaz de schiste, charbon, etc.",Energies renouvelables
202,34954249295-81,VIK,Verband der Industriellen Energie- und Kraftwirtschaft,Allemagne,Association professionnelle,Énergie,249999,5,1.75,,,,
203,35832214158-18,FV Steine-Keramik,Fachverband der Stein- und keramischen Industrie,Autriche,Association professionnelle,Matériaux,4999,1,0.25,,,,
204,10405322962-08,WKO,Wirtschaftskammer Österreich,Autriche,Entité/autorité publique,Intérêts privés,1874999,25,15.25,,,,
205,09256701147-51,EBC,European Builders Confederation,Europe,Association professionnelle,"Construction, immobilier, transports",314000,5,4.75,,POUR,,
206,595041411471-64,German Biogas Association,,Allemagne,ONG,Énergie (principalement renouvelable),4999,2,0.75,,POUR,CONTRE,POUR
207,78601138241-84,DVFG,Deutscher Verband Flüssiggas (German LPG association),Allemagne,Association professionnelle,Énergie fossiles (sauf gaz),60000,1,0.25,,,,
208,1420587986-32,VKU,Verband Kommunaler Unternehmen,Allemagne,Entreprise,Autres industries / intérêts,549999,6,5.25,,,,
209,15423437054-40,VCI,Verband der Chemischen Industrie,Allemagne,Association professionnelle,Industrie chimique,4124999,79,27.25,,,,
210,33629954785-84,AFM+E,Aussenhandelsverband für Mineralöl und Energie,Allemagne,Association professionnelle,Énergie fossiles (sauf gaz),17499,3,2.5,,,,
211,73085531345-65,German Farmers,Deutscher Bauernverband,Allemagne,Association professionnelle,Autres industries / intérêts,280000,3,2.5,,,,
212,,IG Windkraft,Austrian Windenergy Association,Autriche,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
213,460445611477-43,DWA,"German Association of water, wastewater and waste",Allemagne,ONG,Énergie,25000,NaN,NaN,,,,
214,00481013843-28,AöW,Allianz der öffentlichen Wasserwirtschaft,Allemagne,Association professionnelle,Énergie,74999,3,0.75,,,,
215,,VKÖ,Verband Kommunaler Unternehmen Österreichs,Autriche,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
216,9002547940-17,WVM,Wirtschaftsvereinigung Metalle,Allemagne,Association professionnelle,Matériaux,500000,11,3.75,,,,
217,9922252784-95,BGA,"Bundesverband Grosshandel, Aussenhandel, Dienstleistungen",Allemagne,Association professionnelle,Intérêts privés,149999,7,4.5,,,,
218,171640811897-34,DeSH,Deutsche Säge- und Holzindustrie,Allemagne,Association professionnelle,Matériaux,4999,9,8.75,,,,
219,089167355-44,GdW,Bundesverband deutscher Wohnungs- und Immobilienunternehmen,Allemagne,Association professionnelle,"Construction, immobilier, transports",149999,3,3.0,,CONTRE,,CONTRE
221,,Renewable UK,,Royaume-Uni,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
222,38589651649-14,EFET,European Federation of Energy Traders,Europe,Association professionnelle,Finance,449999,10,7.5,,,,
223,,Austropapier,Confederation of Austrian Pulp and Paper industries,Autriche,Association professionnelle,Matériaux,NaN,NaN,NaN,,,,
224,93038071152-83,EUROFER,European Steel Association,Europe,Association professionnelle,Matériaux,649999,8,2.5,,,,
225,18146381379-29,EPPSA,European Power Plant Suppliers Association,Europe,Association professionnelle,Énergie,149999,6,2.5,,,,
226,76130992074-15,Gas Infrastructure Europe,,Europe,Entreprise,Énergie,1374999,6,6.0,POUR,CONTRE,POUR,CONTRE
227,157030317994-18,AEE,Spanish Wind Power Association,Espagne,Association professionnelle,Énergie (principalement renouvelable),10500,3,1.25,,,,
228,41802525291-86,IRU, International Road Transport Union,International,Association professionnelle,"Construction, immobilier, transports",449999,11,11.0,,,POUR,
229,01873234294-62,EPAGMA,European Peat and Growing Media Association,Europe,ONG,Énergie fossiles (sauf gaz),149999,6,2.25,,,,
230,0935153658-47,UIC,Union des Industries Chimiques,France,Syndicat,Industrie chimique,149999,5,2.0,,,,
231,,The Energy Partnership,,Europe,Association professionnelle,"Construction, immobilier, transports",NaN,NaN,NaN,,,,
232,,SPEE-BG,"Alliance of the Producers of Ecological Energy-BG, the Bulgarian Photovoltaic Association, the Bulgarian Wind Energy Association and the Romanian Photovoltaic Industry Association",Bulgarie,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
233,952322311484-70,EDSO,European Distribution System Operators' Association,Europe,Association professionnelle,Énergie,74999,2,0.5,,,,
234,,Assoelettrica,,Italie,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
235,09586631237-74,COPA-COGECA,,Europe,Association professionnelle,Autres industries / intérêts,1124999,18,18.0,,,,
236,89093924456-06,IV,Federation of Austrian Industries,Autriche,Association professionnelle,Intérêts privés,449999,10,3.5,,,,
237,264048311507-68,EUOEA,European Ocean Energy Association,Europe,Association professionnelle,Énergie,349999,5,5.0,,,,
238,98345631631-22,EURIMA,European Insulation Manufacturers Association,Europe,Association professionnelle,"Construction, immobilier, transports",149999,3,1.5,,,,
239,388419813370-85,Chance for Buildings,,République Tchèque,Association professionnelle,"Construction, immobilier, transports",249999,4,2.0,,,,
240,,ReNew,Renewable Energy Austria,Autriche,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
241,281120313987-31,IKEM,Innovation and Chemical Industries in Sweden,Suède,Association professionnelle,Industrie chimique,100000,30,7.5,,,,
242,72279144480-58,CEPI,Confederation of European Paper Industries,Europe,Association professionnelle,Matériaux,549999,7,2.5,,,,
243,69382094718-43,CCSA,Carbon Capture and Storage Association,Europe,Association professionnelle,Énergie fossiles (sauf gaz),37499,4,1.8,,,,
244,13457582538-68,Energy UK,,Royaume-Uni,Association professionnelle,Énergie,120000,6,2.0,,,,
245,070444714545-60,Building Associations,"ELo, EPF, TEGoVAn, European Historic Houses",Europe,Association professionnelle,"Construction, immobilier, transports",474998,22,18.0,,POUR,,
246,19153965510-75,Euroalliages,Association of European Ferro-Alloy Producers,Europe,Association professionnelle,Matériaux,1124999,5,5.0,,,,
247,572064811767-22,EPF,European Panel Federation,Europe,Association professionnelle,Matériaux,249999,5,5.0,,,,
248,9089874181-55,AIE,European Association of Electrical Contractors,Europe,Syndicat,Énergie,74999,2,1.5,,POUR,,POUR
249,22400601191-42,DIHK,Deutscher Industrie- und Handelskammertag,Allemagne,Association professionnelle,Intérêts privés,2698000,20,18.25,,,,
250,,Swedish Peat,,Suède,Association professionnelle,Énergie fossiles (sauf gaz),NaN,NaN,NaN,,,,
252,13255254129-80,VNO-NCW and MKB,,Pays-Bas,Association professionnelle,Intérêts privés,749999,8,7.75,,CONTRE,,CONTRE
253,,Polish Industrial Lobby,,Pologne,Association professionnelle,Intérêts privés,NaN,NaN,NaN,,,,
254,06436048400-37,FECER,Fédération Européenne des Cadres de l'énergie,Europe,Syndicat,Intérêts privés,17499,2,0.5,POUR,,,
255,084019910467-43,ECOHZ,,Europe,Entreprise,Énergie (principalement renouvelable),4999,1,0.25,,,,
256,225005818352-31,Lafarge,,France,Entreprise,Matériaux,149999,6,2.0,,,POUR,
257,82041746393-10,Wienerberger AG,,Autriche,Entreprise,Matériaux,360000,4,1.75,,,,
258,52195525403-65,Novozymes,,Danemark,Entreprise,Énergie (principalement renouvelable),549999,3,2.25,,,,
259,870817015429-80,DONG Energy,,Danemark,Entreprise,Énergie,549999,4,2.0,POUR,POUR,,POUR
260,05233891201-35,First Solar,,États-Unis,Entreprise,Énergie (principalement renouvelable),349999,2,1.5,POUR,POUR,,POUR
261,423266516181-19,Kingfisher,,Royaume-Uni,Entreprise,Autres industries / intérêts,74999,15,6.0,,,,
262,46302264606-44,Schneider Electric,,France,Entreprise,Énergie,549999,6,3.75,,POUR,,POUR
263,971446611568-25,Knauf Insulation,,Allemagne,Entreprise,"Construction, immobilier, transports",549999,10,3.5,POUR,POUR,,
264,837983310707-88,PDF,Project Developer Forum Ltd,International,Association professionnelle,Énergie,25000,NaN,NaN,,POUR,,
266,76648765687-29,NASDAQ,,États-Unis,Entreprise,Finance,449999,3,2.75,,,,
267,769186224869-06,Vestas,,Danemark,Entreprise,Énergie (principalement renouvelable),4999,2,1.0,POUR,POUR,,POUR
268,1095068839-59,IKEA,,Suède,Entreprise,Autres industries / intérêts,849999,6,6.0,CONTRE,POUR,,
271,72103751229-92,Veolia,,France,Entreprise,Énergie,849999,9,7.0,,,,CONTRE
273,423142010527-25,Velux,,Danemark,Entreprise,"Construction, immobilier, transports",249999,5,2.25,,,,
274,,ENERCON,,Allemagne,Consultance,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
276,994651214997-44,Global Warning,,International,Consultance,"Recherche scientifique, expertise",4999,1,0.25,,,,
277,727725510117-60,Hermes- EOS,,Royaume-Uni,Entreprise,Finance,NaN,NaN,NaN,POUR,POUR,,POUR
278,,AS MC,AS Management & Consulting,Luxembourg,Consultance,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,POUR
279,,RSA Insurance,,Royaume-Uni,Entreprise,Finance,NaN,NaN,NaN,,,,
280,94274031992-65,OMV,,Autriche,Entreprise,Énergie fossiles (sauf gaz),549999,2,2.0,,,,
281,43284012043-03,Alstom,,France,Entreprise,"Construction, immobilier, transports",249999,2,2.0,POUR,POUR,,POUR
282,38235121060-73,Dow Chemical,,États-Unis,Entreprise,Industrie chimique,2124999,10,5.5,,,,
283,,Drujba Glassworks,,Bulgarie,Entreprise,Matériaux,NaN,NaN,NaN,,,,
284,,Steinzeug-Keramo,,Allemagne,Entreprise,Matériaux,NaN,NaN,NaN,,,,
285,90705737862-82,Finnfjord,,Norvège,Entreprise,Matériaux,75000,NaN,NaN,,CONTRE,,CONTRE
286,,Recuperi Industriali,,Italie,Entreprise,Matériaux,NaN,NaN,NaN,,,,
287,91425447458-88,3M,,États-Unis,Entreprise,Autres industries / intérêts,549999,5,2.25,POUR,POUR,,POUR
288,289922721213-66,Wärtsilä,,Finlande,Entreprise,Autres industries / intérêts,249999,4,1.0,,,,
289,,VNG,Vereniging Nederlandse Glasfabrikanten,Pays-Bas,Entité/autorité publique,Matériaux,NaN,NaN,NaN,,,,
290,,Wiegand-Glas,,Allemagne,Entreprise,Matériaux,NaN,NaN,NaN,,,,
292,,Yioula Glassworks,,Grèce,Entreprise,Matériaux,NaN,NaN,NaN,,,,
293,10257354120-19,Neste Oil,,Finlande,Entreprise,Énergie fossiles (sauf gaz),249999,4,3.25,,,,
294,45060553191-59,Hydro,,Norvège,Entreprise,Matériaux,549999,3,3.0,,,,CONTRE
295,58089691185-94,Solvay,,Belgique,Entreprise,Industrie chimique,1374999,4,1.0,,,,
296,013755513854-45,Borealis,,Autriche,Association professionnelle,Énergie fossiles (sauf gaz),250000,1,1.0,,CONTRE,POUR,CONTRE
297,519256623442-26,LKAB,,Suède,Entreprise,Énergie fossiles (sauf gaz),100000,3,1.5,CONTRE,,POUR,
298,36636102190-34,OBB,,Autriche,Entreprise,"Construction, immobilier, transports",349999,2,1.5,,,,
299,82770116544-06,Westinghouse,,États-Unis,Entreprise,Énergie,200000,3,1.0,POUR,CONTRE,,CONTRE
300,721647010823-15,ThyssenKrupp,,Allemagne,Entreprise,Matériaux,849999,4,3.25,,,,
301,962687110415-94,Metsä,,Finlande,Entreprise,Matériaux,74999,3,1.0,,CONTRE,,CONTRE
302,7410939793-88,BASF,,Allemagne,Entreprise,Industrie chimique,3200000,19,11.8,,CONTRE,POUR,CONTRE
303,138083013988-72,RHI,,Autriche,Entreprise,Matériaux,37499,2,0.5,,,,
304,344826112965-44,INEOS,,Suisse,Entreprise,Industrie chimique,4999,25,6.25,,,,
305,192594214094-84,AIVE,Portuguese Container Glass Industry,Portugal,Association professionnelle,Matériaux,4999,2,1.5,,,,
306,342012711453-30,Enea Trading,,Pologne,Entreprise,Énergie,NaN,NaN,NaN,,,,
307,,RES,,Royaume-Uni,Entreprise,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
308,64436972598-17,SSE,,Royaume-Uni,Entreprise,Énergie,149999,1,1.0,,POUR,,POUR
309,68134637922-07,Enedis,Ex-ERDF,France,Entreprise,Énergie,649999,4,1.0,,,,
310,41816938101-07,Iberdrola,,Espagne,Entreprise,Énergie,549999,5,3.75,,CONTRE,POUR,CONTRE
311,02430347902-54,Eneco,,Pays-Bas,Entreprise,Énergie (principalement renouvelable),4999,2,0.75,,,,
312,70816716119-36,PGNiG SA,,Pologne,Entreprise,Énergie fossiles (sauf gaz),149999,8,5.25,,,,
313,17284292859-45,SWM,Stadtwerke München GmbH,Allemagne,Entreprise,Énergie,349999,1,1.0,,,,
314,352103717639-15,TVO,,Finlande,Entreprise,Énergie,149999,3,0.75,,,,
315,06877217926-31,ENEL,,Italie,Entreprise,Énergie,17499,1,0.5,,CONTRE,POUR,CONTRE
316,67833029261-54,Gas Natural Fenosa,,Espagne,Entreprise,Énergie,37499,4,2.5,,,POUR,CONTRE
317,56592866496-47,EDP,Energias de Portugal,Portugal,Entreprise,Énergie,149999,1,1.0,,,,
318,51375423794-46,Fennovoima,,Finlande,Entreprise,Énergie,74999,1,0.25,POUR,CONTRE,,CONTRE
319,,A2A,,Italie,Entreprise,Énergie,NaN,NaN,NaN,,,,
320,66126847778-02,HSE,,Slovénie,Entreprise,Énergie,74999,3,2.75,,,,
321,44688805318-45,REE,"Red Eléctrica de España, SAU",Espagne,Entreprise,Énergie,149999,3,2.0,,,,
322,,Tauron,,Pologne,Entreprise,Énergie,NaN,NaN,NaN,,,,
323,56039866688-26,National Grid,,Royaume-Uni,Entreprise,Énergie,349999,2,2.0,,,,
324,516404410590-13,Adger Energy,,Norvège,Entreprise,Énergie (principalement renouvelable),4999,1,0.5,,,,
325,96327066302-56,Statkraft,,Norvège,Entreprise,Énergie (principalement renouvelable),0,6,6.0,,,,
326,,EDF Energy,,Royaume-Uni,Entreprise,Énergie,NaN,NaN,NaN,POUR,,CONTRE,CONTRE
327,39966101835-69,EDF,,France,Entreprise,Énergie,2124999,11,11.0,,,,
328,69240395197-02,Repsol,,Espagne,Entreprise,Énergie fossiles (sauf gaz),749999,8,3.0,,,,
329,963142911472-29,BKK,,Norvège,Entreprise,Énergie (principalement renouvelable),4999,8,2.0,,,,
330,72760517350-57,E.ON,,Allemagne,Entreprise,Énergie,849999,18,6.75,,,,
332,429600710582-32,CEZ,,République Tchèque,Entreprise,Énergie,149999,5,2.5,,,,
333,4447605981-76,Statoil,,Norvège,Entreprise,Énergie fossiles (sauf gaz),2624500,12,7.5,,CONTRE,POUR,CONTRE
334,401111262-07,Edison,,Italie,Entreprise,Énergie,349999,3,2.0,,,,
335,109601212076-63,Paikallisvoima,The Finnish Local Power Association,Finlande,Association professionnelle,Énergie,37499,2,0.5,,,,
336,09571422185-81,Verbund,,Autriche,Entreprise,Énergie,349999,4,1.75,,,,
337,289810215426-07,TenneT,,Pays-Bas,Entreprise,Énergie,249999,4,2.75,,,,
338,29967294656-11,Gasunie,N.V. Nederlandse Gasunie,Pays-Bas,Entreprise,Énergie,249999,4,1.75,,,,
339,451019811573-55,Acciona,,Espagne,Entreprise,"Construction, immobilier, transports",149999,2,0.5,,,,
340,05032108616-26,Shell,,Pays-Bas,Entreprise,Énergie fossiles (sauf gaz),4624500,18,11.0,,CONTRE,POUR,CONTRE
341,99578067285-35,ENI,,Italie,Entreprise,Énergie fossiles (sauf gaz),549999,6,3.0,,,,CONTRE
342,90947457424-20,Engie,Ex-GDF SUEZ,France,Entreprise,Énergie,2124999,12,11.0,POUR,,POUR,
343,12955024114-93,Vattenfall,,Suède,Entreprise,Énergie,949999,5,3.5,,,,
344,292576015608-71,SHV Energy,,Pays-Bas,Entreprise,Énergie,749999,4,2.5,,,,
345,541969311624-32,Wien Energy,,Autriche,Entreprise,Énergie,74999,4,1.0,,,,
346,03501997362-71,Fortum,,Finlande,Entreprise,Énergie,588000,9,5.5,POUR,CONTRE,POUR,CONTRE
347,1849405799-88,Total,,France,Entreprise,Énergie fossiles (sauf gaz),1874999,6,6.0,,,,CONTRE
348,41126912590-71,Areva,,France,Entreprise,Énergie,649999,6,3.75,POUR,,CONTRE,CONTRE
349,75729476306-17,Wintershall,,Allemagne,Entreprise,Énergie fossiles (sauf gaz),549999,2,2.0,,,,
350,98019938020-21,Valero,,États-Unis,Entreprise,Énergie fossiles (sauf gaz),17499,1,0.5,,,,
351,77608353460-77,RWE,,Allemagne,Entreprise,Énergie,2000000,10,5.5,POUR,CONTRE,POUR,CONTRE
352,,Bord Gáis,,Irlande,Entreprise,Énergie,NaN,NaN,NaN,,,,
353,3394026642-58,BP,British Petroleum,Royaume-Uni,Entreprise,Énergie fossiles (sauf gaz),2874999,9,5.25,,CONTRE,POUR,CONTRE
354,16020059773-15,Dii,,Allemagne,Entreprise,Énergie (principalement renouvelable),225000,NaN,NaN,,,,
355,4016736872-59,General Electric,,États-Unis,Entreprise,Énergie,5624500,17,8.75,,,POUR,POUR
356,241656822426-29,ESB,Electriciy Supply Board,Irlande,Entreprise,Énergie,74999,1,0.25,,,,
357,,SLZ Group,,Suisse,Entreprise,Finance,NaN,NaN,NaN,,,,
358,13324391892-74,EnBW,,Allemagne,Entreprise,Énergie,910000,6,3.25,,POUR,,POUR
359,530617716398-33,USG,Utility Support Group,Pays-Bas,Entreprise,Énergie,349999,2,1.5,,,,
374,222186719128-03,LFMI,The Lithuanian Free Market Institute,Lituanie,Think tank et recherche,"Recherche scientifique, expertise",4999,5,1.25,,,,
375,,UNPI,Union Nationale de la Propriété Immobilière,France,Syndicat,"Construction, immobilier, transports",NaN,NaN,NaN,,,,
376,,RE-GREEN,Regional policies towards green buildings,Europe,Think tank et recherche,"Construction, immobilier, transports",NaN,NaN,NaN,,,,
377,0124622797-55,Housing Europe,CECODHAS,Europe,ONG,"Construction, immobilier, transports",149999,4,2.5,,,,
378,975741812941-63,RECS International,,Europe,ONG,Énergie,4999,3,3.0,,,,
379,251117611140-75,Confederation Lewiatan,,Pologne,Association professionnelle,Intérêts privés,149999,4,2.0,CONTRE,CONTRE,POUR,CONTRE
380,,Club Arc Alpin,,Europe,ONG,Autres industries / intérêts,NaN,NaN,NaN,,,,
382,983954218683-60,REScoop 20-20-20,,Europe,Entreprise,Énergie (principalement renouvelable),17499,2,0.5,,,,
383,151425218350-89,IPF,Investment Property Forum,Royaume-Uni,Association professionnelle,Finance,17499,1,0.25,,CONTRE,,CONTRE
384,,RHC-Platform,European Technology Platform on Renewable Heating and Cooling,Europe,ONG,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
385,,FREE,Future of Rural Energy in Europe,Europe,ONG,Autres industries / intérêts,NaN,NaN,NaN,,,,
386,,FCH JU,Fuel Cells and Hydrogen Joint Undertaking,Europe,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
387,482897410370-35,Word GBC,World Green Building Council (Europe Regional Network),International,ONG,"Construction, immobilier, transports",149999,1,1.0,,,,
388,72911566925-69,Coalition for Energy Savings,,Europe,Autre,Énergie,149999,3,0.75,,POUR,,
389,2893800753-48,VZBV,Federation of German Consumer Organisations,Allemagne,ONG,Autres industries / intérêts,949999,35,35.0,,POUR,,POUR
390,088919911489-91,COEAC,Collegi Oficial d'Enginyers Agrònoms de Catalunya,Espagne,Association professionnelle,Autres industries / intérêts,25000,NaN,NaN,,,,
391,582485310717-46,ZEP,Zero Emissions Platform,Europe,Think tank et recherche,"Recherche scientifique, expertise",4999,43,11.25,,,,
392,09579576238-53,EEX,European Energy Exchange,Europe,Entreprise,Finance,149999,7,4.75,,,POUR,
393,,RLA,Residential Landlords Association,Royaume-Uni,Association professionnelle,"Construction, immobilier, transports",NaN,NaN,NaN,,,,
394,268508011364-70,Swedish Union of Tenants,,Suède,ONG,"Construction, immobilier, transports",17499,5,1.5,,,,
395,381796719468-68,EUCLG,The Prince of Wales’s EU Corporate Leaders Group,Europe,Association professionnelle,Intérêts privés,649999,5,5.0,,,,
396,962717910722-61,IIGCC,Institutional Investors Group on Climate Change,Europe,ONG,Finance,249999,4,2.0,POUR,,,
397,,EBTP-SABS,European Biofuels Technology Platform,Europe,Think tank et recherche,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
398,911689722889-60,EnR Network,European Energy Network,Europe,Entité/autorité publique,Intérêts public environnementaux,400000,54,14.75,,,,
399,3819438251-87,Euro Coop,the European Community of Consumer Co-operatives,Europe,ONG,Autres industries / intérêts,549999,5,3.5,,,,
400,51553694127-62,USH,Union sociale pour l’habitat,France,Syndicat,"Construction, immobilier, transports",449999,3,3.0,,,,
402,48071001253-27,EHA,European Hydrogen Association,Europe,ONG,Énergie,4999,2,1.5,,,,
404,140992111418-09,Stichting Enerchique,,Pays-Bas,ONG,Intérêts public environnementaux,NaN,NaN,NaN,,,,
405,57946843667-42,UIPI,International Union of Property Owners,Europe,ONG,"Construction, immobilier, transports",149999,3,2.25,,CONTRE,,
406,,Benevento,Benevento,Autriche,Entreprise,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
407,,KLJB,Katholische Landjugendbewegung Deutschlands,Allemagne,Communauté religieuse,Autres industries / intérêts,NaN,NaN,NaN,POUR,POUR,CONTRE,POUR
408,948333125186-06,Climate-Kic,,Europe,Autre,"Recherche scientifique, expertise",74999,4,1.0,,,,
409,59513031434-92,CEEP,European Centre of Employers and Enterprises providing Public services,Europe,ONG,Intérêts public environnementaux,964500,8,6.75,,,,
410,539593110251-28,Foundation 2 Degrees,Stiftung 2 Grad,Allemagne,ONG,Intérêts privés,4999,1,0.25,POUR,POUR,CONTRE,POUR
411,01995086879-32,Confrontations Europe,,Europe,Think tank et recherche,"Recherche scientifique, expertise",74999,8,8.0,,,,
412,7157999502-14,IETA,International Emmissions Trading Association,Europe,Association professionnelle,Finance,149999,2,1.0,POUR,CONTRE,,CONTRE
413,74838936515-43,EVVE,European Association for the Consumption-based billing of Energy costs,Europe,Association professionnelle,"Construction, immobilier, transports",4999,1,0.75,,POUR,,
416,36820998995-30,RenEnergy,,Royaume-Uni,Entreprise,Énergie (principalement renouvelable),649999,5,5.0,,,,
417,905001612275-82,Enagas,,Espagne,Entreprise,Énergie,149999,3,1.0,,,,
418,257226411720-38,Teknikföretagen,,Suède,Association professionnelle,Intérêts privés,349999,7,2.25,,,,
419,,FEDENE,Fédération des Services Energie-Environnement,France,Consultance,Énergie,NaN,NaN,NaN,,,,
420,06698681039-26,ETUC,European Trade Union Confederation,Europe,Syndicat,Intérêts des salariés,1124999,23,22.25,,,,
421,979757811894-96,Teollisuuden palkansaajat,,Finlande,Syndicat,Intérêts des salariés,4999,1,0.25,,,,
422,69851845452-33,CFE-CGC Énergies,CFE-CGC Industries Electriques et Gazières,France,Syndicat,Énergie,37499,2,2.0,,,,
423,43246044354-41,ÖGB,Austrian Trade Union Federation (Österreichischer Gewerkschaftsbund),Autriche,Syndicat,Intérêts des salariés,349999,4,4.0,,,,
424,,Trade Union Pro,,Finlande,Syndicat,Intérêts des salariés,NaN,NaN,NaN,,,,
425,358284014848-82,industriAll,industriAll European Trade Union,Europe,Syndicat,Intérêts des salariés,226000,14,9.0,,POUR,,POUR
426,77510791109-40,TUC,,Royaume-Uni,Syndicat,Intérêts des salariés,4999,1,1.0,,,,
427,16178359495-57,Ver.di,Vereinte Dienstleistungsgewerkschaft,Allemagne,Syndicat,Intérêts des salariés,4999,5,4.0,,,,
428,88787562806-65,DFK,Die Führungkräfte,Allemagne,Syndicat,Intérêts privés,17499,2,0.5,,,,
429,23869471911-54,BAK,Bundesarbeitskammer Österreich,Autriche,Syndicat,Intérêts des salariés,449999,8,7.5,,,,
430,07595112423-87,DGB,Deutscher Gewerkschaftsbund,Allemagne,Syndicat,Intérêts des salariés,449999,11,9.0,,,,
432,01312486176-25,Scotland Europa,,Royaume-Uni,Entité/autorité publique,Autres industries / intérêts,4999,9,9.0,,,,
438,11514322965-05,Energy Cities,,Europe,ONG,Énergie (principalement renouvelable),17499,5,1.75,,,,
448,999630923811-90,ICLEI,,Europe,Entité/autorité publique,Intérêts public environnementaux,37499,5,1.25,POUR,POUR,CONTRE,POUR
450,203758911479-09,Policy exchange,,Royaume-Uni,Think tank et recherche,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
451,86853666704-95,CEPS,,Europe,Think tank et recherche,"Recherche scientifique, expertise",4999,52,49.5,,,,
452,101582711494-15,Climate Strategies,,Royaume-Uni,ONG,"Recherche scientifique, expertise",4999,3,3.0,,,,
453,817234411078-80,FPKG,Fundacja Polski Kongres Gospodarczy,Pologne,Think tank et recherche,Intérêts privés,NaN,NaN,NaN,,,,
454,119161911333-40,FEEM,Fondazione Eni Enrico Mattei,Italie,Think tank et recherche,"Recherche scientifique, expertise",4999,8,5.5,CONTRE,CONTRE,,CONTRE
455,,IME,Institute for Market Economics,Bulgarie,Think tank et recherche,Finance,NaN,NaN,NaN,,,,
457,783139310998-68,AAM,Asociacion de Ambientologos de Madrid,Espagne,Association professionnelle,"Recherche scientifique, expertise",4999,300,75.0,,POUR,,POUR
458,06869148182-50,UITP,International Association of Public Transport,International,Association professionnelle,"Construction, immobilier, transports",749999,7,4.0,,,,
461,282178211569-81,FNR,Fachagentur Nachwachsende Rohstoffe e.V. (Agency for Renewable Resources),Allemagne,Entité/autorité publique,"Recherche scientifique, expertise",4999,19,18.5,,,,POUR
462,744827611137-47,RSAS,Kungl. Vetenskapsakademien the Royal Swedish Academy of Sciences,Suède,ONG,"Recherche scientifique, expertise",4999,1,0.25,,,,
464,52774696782-43,CEA,Commissariat à l’Energie Atomique et aux Energies Alternatives,France,Think tank et recherche,Énergie,149999,50,50.0,,,,
465,133236011647-58,EASAC,European Academies Science Advisory Council,Europe,Think tank et recherche,"Recherche scientifique, expertise",249999,8,4.0,,,,
466,21280626733-05,German Aerospace Center,Deutsches Zentrum für Luft- und Raumfahrt e.V.,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",649999,55,27.5,,,,
468,65470797015-89,CEER,Council fo European Energy regulators,Europe,ONG,Énergie,949999,8,8.0,,,,
472,778759511497-23,ADENE,Agência para a Energia,Portugal,Entité/autorité publique,Énergie,NaN,NaN,NaN,,,,
473,,SRU,German Advisory Council on the Environment,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
475,98277414699-83,EU Umweltbüro,,Autriche,ONG,Intérêts public environnementaux,37499,3,1.5,,,,
476,5265780509-97,AmCham,American Chamber of Commerce to the EU,États-Unis,Association professionnelle,Intérêts privés,1124999,25,8.5,,,POUR,CONTRE
477,20457441380-38,BDEW,Bundesverband der Energie- und Wasserwirtschaft,Allemagne,Association professionnelle,Énergie,2874999,24,13.75,,,,
478,150712220857-50,Bord Na Móna,,Irlande,Entreprise,Énergie (principalement renouvelable),74999,5,1.75,,,,
479,73700969875-77,CDC Climat,,France,Consultance,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
480,04201463642-88,CECED,The European Committee of Domestic Equipment Manufacturers,Europe,Association professionnelle,Intérêts privés,449999,13,13.0,,,,
481,38305846546-70,COGEN Europe,,Europe,Association professionnelle,Énergie,449999,6,3.75,,,,
482,453515910702-95,CPI,Confederation of Paper Industries (UK),Royaume-Uni,Association professionnelle,Matériaux,4999,1,0.5,,,,
483,014218910510-57,EEF UK Steel,the manufacturers’ organisation/ UK Steel,Royaume-Uni,Association professionnelle,Matériaux,649999,8,4.25,,,,
485,13083157825-94,International Gas Union,,International,Association professionnelle,Énergie,37499,1,0.25,,,,
486,,MET,Magyar Energetikai Társaság,Hongrie,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
487,430975111376-25,VAS,Associazione Verdi Ambiente e Società Onlus,Italie,ONG,Intérêts public environnementaux,4999,4,2.0,,,,
